,0
0,1109044.1819962477
1,1097784.9917471302
2,1107732.7233967225
3,1106473.1530891594
4,1104643.3488067123
5,1110519.0880821857
6,1100151.6710130768
7,1101434.5315396788
8,1099349.2772844448
9,1100638.962730962
10,1098464.5986986838
11,1101916.4767264288
12,1106127.8032144483
13,1100264.74754454
14,1099081.2548798872
15,1107809.9003944222
16,1102455.630451598
17,1110806.0142317896
18,1102678.3596260687
19,1102483.5055904407
20,1099582.9982082818
21,1090756.09109529
22,1086864.7766769046
23,1082936.162242796
24,1079248.309198652
25,1101251.2326150301
26,1105790.8454678038
27,1127203.6821525767
28,1144113.4132948467
29,1147811.5857350016
30,1152749.8358125621
31,1155773.549283947
32,1150723.8309568744
33,1152965.9291470696
34,1151922.313081336
35,1157467.8967683963
36,1162429.3316986277
37,1166152.5509282856
38,1169727.3172664535
39,1165773.0042688667
40,1165987.887276387
41,1164953.9305080066
42,1169492.5856836461
43,1169622.0445628525
44,1172105.7767192503
45,1175464.4772258438
46,1191661.7848431382
47,1194680.7551590716
48,1206858.7442727906
49,1204105.2459068662
50,1214197.8319294192
51,1205118.8556552057
52,1210403.018212018
53,1206713.8552928246
54,1211999.2595794813
55,1220641.1862736265
56,1220817.7518229608
57,1215411.4547840666
58,1216680.1771189212
59,1219928.3788680353
60,1211637.004101271
61,1210374.1353685078
62,1204033.142313485
