,0
0,1000000.0
1,999801.9164738236
2,1000128.9314201616
3,996901.6521777464
4,996642.8971496001
5,994924.5357576652
6,992576.9722108755
7,992318.4136229913
8,988341.9730120301
9,987875.767937854
10,989159.0681666945
11,974535.9666785051
12,985829.2417897149
13,986115.6949315841
14,988309.0558894925
15,988900.8756255566
16,993039.6073035343
17,1006638.0059359444
18,997603.607863922
19,990425.3554054748
20,988976.9654911857
21,993989.3864248965
22,993800.1113114315
23,1001049.3876678934
24,1012048.8721007505
25,1014386.4904768702
26,992952.33483322
27,999039.7898056633
28,997343.0464454698
29,993867.5197742182
30,969121.2198432081
31,968372.036538369
32,966120.893873266
33,962021.9129482866
34,940913.6500186943
35,969525.4741121063
36,958275.4096546674
37,956648.6110726006
38,951734.7421252418
39,927798.0354596622
40,922577.8896330881
41,937438.196011113
42,915720.3790028712
43,911036.4710948745
44,904409.2201484169
45,943680.6557805133
46,952455.59154482
47,974573.5038195595
48,978719.4141506937
49,972528.2050853049
50,995874.1590788572
51,1007408.9933215608
52,995781.8907582364
53,982402.2959368131
54,1037027.0254853274
55,1027365.5819227111
56,1033962.7979802184
57,1047532.1019728659
58,1030399.2332601233
59,1007704.9781082179
60,1021000.3533629003
61,1035239.6725007312
62,1061929.6614134635
63,1069981.1378979261
64,1066415.9096922344
65,1048115.9187166458
66,1054123.074493557
67,1078777.0491514269
68,1075563.0992722325
69,1055525.7662859033
70,1066940.258849292
71,1075414.4870982561
72,1072501.7602815721
73,1043969.9038687652
74,1058747.7675189748
75,1055507.0961362817
76,1065315.222483179
77,1078156.8869737177
78,1073809.4732939398
79,1075756.1070295612
80,1094938.026247648
81,1094352.4276276343
82,1100023.8147272528
83,1118962.883882228
84,1121113.9548916637
85,1134764.9108238022
86,1121286.9940642002
87,1139119.61093355
88,1122489.4170701613
89,1125646.3713317516
90,1100760.3741137688
91,1108460.9255938642
92,1100707.4490367677
93,1126137.8545594742
94,1120094.7171548367
95,1110425.7511478094
96,1091919.8977354136
97,1086401.50876764
98,1117290.6979094506
99,1098544.205551357
100,1109714.0559275912
101,1118196.9234940452
102,1148787.6491846615
103,1156015.454265755
104,1148617.814023076
105,1162623.64283779
106,1167358.4427980795
107,1167294.3350984985
108,1167107.9168918864
109,1165129.0650181936
110,1163812.1217391156
111,1165572.808116194
112,1141991.432161261
113,1129259.4700071698
114,1130230.0453096535
115,1135060.4645253213
116,1132945.9776253877
117,1105119.847399914
118,1099730.1720508265
119,1098249.0448149855
120,1121108.2618760816
121,1118922.323330226
122,1128965.0895117144
123,1120739.2077671422
124,1125885.798122728
125,1097573.4483086613
126,1100648.2882614122
127,1077654.2421381755
128,1078000.191980275
129,1080944.145436072
130,1076028.171584965
131,1097693.6597881748
132,1102221.3641500904
133,1133447.1925105802
134,1149549.157264808
135,1156660.5522633153
136,1170144.9280707778
137,1177225.9102991393
138,1177271.4143006199
139,1211768.8326376113
140,1217896.719319791
141,1219733.3654714427
142,1219572.973244174
143,1213248.092873699
144,1224483.7710404298
145,1229618.0891517862
146,1247278.2059534865
147,1247860.4005727512
148,1237062.9372559472
149,1236808.981848469
150,1248651.1060148343
151,1240047.7621183814
152,1230226.6435802137
153,1246945.795901406
154,1252444.3939799787
155,1238814.2776987192
156,1212129.1367973574
157,1222408.2093013646
158,1230143.0236968617
159,1237737.7619488884
160,1260175.6249564344
161,1263410.5381359148
162,1269135.2013802805
163,1268763.4606542771
164,1275626.981954293
165,1276348.0888352564
166,1267027.6821869984
167,1240869.341324482
168,1236799.1682684396
169,1244455.0784531317
170,1257606.3078990905
171,1269038.1189812596
172,1277607.7126290442
173,1291207.1851008523
174,1286297.5343200818
175,1289202.4488839745
176,1297133.0819110642
177,1314664.2374271709
178,1314747.8506490164
179,1319047.160696803
180,1311906.406319132
181,1318846.4832641194
182,1307513.8218324732
183,1295390.6929935296
184,1284678.0335997848
185,1304028.5324744834
186,1297771.559262078
187,1294346.6126969713
188,1264698.2386418174
189,1257609.0943619388
190,1274841.6125849388
191,1292852.1607354684
192,1297937.065171294
193,1309872.0557787356
194,1324858.3014121295
195,1329263.167572164
196,1328234.479174092
197,1346992.8064146978
198,1351003.8757009832
199,1343107.258948993
200,1363179.7661539735
201,1361767.5106419066
202,1349808.0872149873
203,1363460.1362828596
204,1345370.7926896792
205,1331736.9776462885
206,1331711.5237923283
207,1309359.196153215
208,1339599.40161944
209,1305733.5103216937
210,1313489.8266476737
211,1310864.274822576
212,1314415.182612663
213,1340615.6274807286
214,1342685.6355145997
215,1370646.7740068445
216,1374053.0760280953
217,1381370.6770951368
218,1373655.0002643333
219,1382190.8404453832
220,1401130.5062145
221,1403475.6249795356
222,1398462.0283478973
223,1376548.682345986
224,1372141.408994277
225,1389970.8420015536
226,1390224.669890225
227,1399135.9630696892
228,1376734.8274165043
229,1379078.4315040985
230,1399078.548078718
231,1397787.0100213136
232,1386385.3093565872
233,1393998.0951316832
234,1391544.1752244444
235,1375901.5779495803
236,1381849.196387324
237,1389994.4832418158
238,1392491.1066927281
239,1403165.2484522492
240,1400373.7475022255
241,1401113.369180233
242,1385216.5188867422
243,1393900.2374450203
244,1402593.2128334206
245,1403726.3591552456
246,1406205.532299374
247,1415768.9674539757
248,1420732.2144977092
249,1420398.9049177447
250,1424392.661961607
251,1409741.1152127492
252,1437546.4104972708
253,1434265.9728777744
254,1431252.1475112487
255,1429159.8973960597
256,1435292.3061110838
257,1448837.9049208846
258,1439483.7055713001
259,1449084.221069103
260,1454525.2387661512
261,1434399.5351509992
262,1452860.352984007
263,1439401.5283867908
264,1405797.2426246286
265,1370261.1260537142
266,1376780.1733725744
267,1370071.6161382752
268,1372659.999117683
269,1358049.0691217775
270,1342465.871069676
271,1358444.986545255
272,1372167.7629219433
273,1362791.400588379
274,1328497.8844950036
275,1333466.6923522332
276,1321899.7813582323
277,1342606.951243765
278,1340451.0866247278
279,1357909.264706738
280,1355456.31052228
281,1376677.170337195
282,1382098.7453001277
